n,workers,seconds,duration
1,1,24.059857,24.0598566s
1,2,23.766300,23.7663005s
1,4,25.107606,25.1076065s
1,6,30.838006,30.8380058s
1,8,26.001033,26.0010333s
1,10,30.456201,30.4562007s
1,12,31.909903,31.9099026s
1,16,32.344388,32.344388s
1,32,32.533989,32.5339891s
1,64,30.851096,30.8510961s
1,128,32.468146,32.4681459s
6,1,44.421488,44.4214876s
6,2,39.140923,39.1409235s
6,4,37.400238,37.4002378s
6,6,36.873397,36.8733973s
6,8,39.014595,39.0145951s
6,10,38.569890,38.5698905s
6,12,38.520201,38.5202012s
6,16,38.613259,38.6132586s
6,32,38.812322,38.8123216s
6,64,37.775150,37.7751499s
6,128,37.879783,37.879783s
