n,workers,seconds,duration
1,1,83.454394,1m23.4543943s
1,2,78.933512,1m18.9335122s
1,4,71.902313,1m11.9023127s
1,6,61.907399,1m1.9073994s
1,8,57.192730,57.1927302s
1,10,56.921894,56.9218942s
1,12,56.906124,56.9061238s
1,16,58.056449,58.0564485s
1,32,57.317340,57.3173401s
1,64,56.585754,56.5857539s
1,128,56.034150,56.0341498s
6,1,67.859163,1m7.8591628s
6,2,63.773656,1m3.7736562s
6,4,61.631035,1m1.6310351s
6,6,61.278628,1m1.2786278s
6,8,66.654673,1m6.6546732s
6,10,76.457386,1m16.4573857s
6,12,76.804561,1m16.8045608s
6,16,77.404867,1m17.4048672s
6,32,77.039780,1m17.03978s
6,64,76.096317,1m16.0963172s
6,128,76.873785,1m16.8737855s
