"clip","n","workers","seconds","duration","results_csv"
"a/clip_20s_30s","6","10","20,520512","20.5205122s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_30s\results.csv"
"a/clip_20s_30s","6","12","20,193924","20.1939237s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_30s\results.csv"
"a/clip_20s_30s","6","16","20,101111","20.1011115s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_30s\results.csv"
"a/clip_20s_30s","6","32","20,042807","20.0428075s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_30s\results.csv"
"a/clip_20s_30s","6","64","20,252284","20.2522838s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_30s\results.csv"
"a/clip_20s_30s","6","128","19,884193","19.884193s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_30s\results.csv"
"a/clip_20s_60s","1","1","44,728312","44.7283118s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_60s\results.csv"
"a/clip_20s_60s","1","2","41,455176","41.4551761s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_60s\results.csv"
"a/clip_20s_60s","1","4","38,256013","38.2560127s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_60s\results.csv"
"a/clip_20s_60s","1","6","39,904257","39.9042573s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_60s\results.csv"
"a/clip_20s_60s","1","8","37,568295","37.5682951s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_60s\results.csv"
"a/clip_20s_60s","1","10","34,467326","34.4673256s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_60s\results.csv"
"a/clip_20s_60s","1","12","32,697947","32.6979469s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_60s\results.csv"
"a/clip_20s_60s","1","16","36,140023","36.1400225s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_60s\results.csv"
"a/clip_20s_60s","1","32","38,895693","38.8956928s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_60s\results.csv"
"a/clip_20s_60s","1","64","37,269411","37.2694108s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_60s\results.csv"
"a/clip_20s_60s","1","128","37,953395","37.9533954s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_60s\results.csv"
"a/clip_20s_60s","6","1","47,931471","47.9314713s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_60s\results.csv"
"a/clip_20s_60s","6","2","44,8462","44.8462s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_60s\results.csv"
"a/clip_20s_60s","6","4","43,949722","43.9497221s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_60s\results.csv"
"a/clip_20s_60s","6","6","41,695083","41.6950832s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_60s\results.csv"
"a/clip_20s_60s","6","8","40,288665","40.2886645s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_60s\results.csv"
"a/clip_20s_60s","6","10","40,211006","40.2110064s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_60s\results.csv"
"a/clip_20s_60s","6","12","38,232933","38.2329329s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_60s\results.csv"
"a/clip_20s_60s","6","16","38,514804","38.5148038s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_60s\results.csv"
"a/clip_20s_60s","6","32","40,675545","40.6755448s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_60s\results.csv"
"a/clip_20s_60s","6","64","43,00535","43.0053496s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_60s\results.csv"
"a/clip_20s_60s","6","128","40,319816","40.3198162s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_60s\results.csv"
"b/clip_60s_120s","1","1","49,348877","49.3488771s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_120s\results.csv"
"b/clip_60s_120s","1","2","44,74941","44.7494099s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_120s\results.csv"
"b/clip_60s_120s","1","4","41,453715","41.4537153s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_120s\results.csv"
"b/clip_60s_120s","1","6","41,50234","41.5023403s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_120s\results.csv"
"b/clip_60s_120s","1","8","40,609561","40.6095606s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_120s\results.csv"
"b/clip_60s_120s","1","10","41,184836","41.184836s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_120s\results.csv"
"b/clip_60s_120s","1","12","40,83845","40.83845s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_120s\results.csv"
"b/clip_60s_120s","1","16","39,589141","39.5891411s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_120s\results.csv"
"b/clip_60s_120s","1","32","39,444937","39.4449371s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_120s\results.csv"
"b/clip_60s_120s","1","64","39,871001","39.871001s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_120s\results.csv"
"b/clip_60s_120s","1","128","39,684782","39.6847818s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_120s\results.csv"
"b/clip_60s_120s","6","1","54,330575","54.3305746s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_120s\results.csv"
"b/clip_60s_120s","6","2","44,566197","44.5661966s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_120s\results.csv"
"b/clip_60s_120s","6","4","42,30948","42.3094796s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_120s\results.csv"
"b/clip_60s_120s","6","6","39,17612","39.1761197s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_120s\results.csv"
"b/clip_60s_120s","6","8","37,193824","37.1938238s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_120s\results.csv"
"b/clip_60s_120s","6","10","37,13828","37.1382801s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_120s\results.csv"
"b/clip_60s_120s","6","12","38,815061","38.8150612s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_120s\results.csv"
"b/clip_60s_120s","6","16","39,66329","39.6632902s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_120s\results.csv"
"b/clip_60s_120s","6","32","37,33959","37.3395896s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_120s\results.csv"
"b/clip_60s_120s","6","64","37,543267","37.5432666s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_120s\results.csv"
"b/clip_60s_120s","6","128","37,393963","37.393963s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_120s\results.csv"
"b/clip_60s_30s","1","1","9,111268","9.1112685s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_30s\results.csv"
"b/clip_60s_30s","1","2","9,984091","9.9840911s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_30s\results.csv"
"b/clip_60s_30s","1","4","9,815246","9.8152458s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_30s\results.csv"
"b/clip_60s_30s","1","6","9,673469","9.6734694s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_30s\results.csv"
"b/clip_60s_30s","1","8","9,933414","9.9334144s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_30s\results.csv"
"b/clip_60s_30s","1","10","10,434917","10.4349168s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_30s\results.csv"
"b/clip_60s_30s","1","12","9,900119","9.9001186s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_30s\results.csv"
"b/clip_60s_30s","1","16","9,891727","9.8917265s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_30s\results.csv"
"b/clip_60s_30s","1","32","10,079761","10.0797609s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_30s\results.csv"
"b/clip_60s_30s","1","64","9,658331","9.6583306s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_30s\results.csv"
"b/clip_60s_30s","1","128","9,612373","9.6123734s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_30s\results.csv"
"b/clip_60s_30s","6","1","14,191254","14.1912536s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_30s\results.csv"
"b/clip_60s_30s","6","2","11,843644","11.8436445s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_30s\results.csv"
"b/clip_60s_30s","6","4","12,013555","12.0135551s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_30s\results.csv"
"b/clip_60s_30s","6","6","11,345879","11.3458787s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_30s\results.csv"
"b/clip_60s_30s","6","8","11,559527","11.5595268s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_30s\results.csv"
"b/clip_60s_30s","6","10","11,384896","11.3848964s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_30s\results.csv"
"b/clip_60s_30s","6","12","11,002714","11.0027143s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_30s\results.csv"
"b/clip_60s_30s","6","16","11,474548","11.4745478s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_30s\results.csv"
"b/clip_60s_30s","6","32","10,988058","10.988058s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_30s\results.csv"
"b/clip_60s_30s","6","64","11,000604","11.0006044s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_30s\results.csv"
"b/clip_60s_30s","6","128","11,480689","11.4806887s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_30s\results.csv"
"b/clip_60s_60s","1","1","24,52391","24.5239098s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_60s\results.csv"
"b/clip_60s_60s","1","2","22,043764","22.0437641s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_60s\results.csv"
"b/clip_60s_60s","1","4","21,578371","21.5783713s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_60s\results.csv"
"b/clip_60s_60s","1","6","20,610304","20.6103038s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_60s\results.csv"
"b/clip_60s_60s","1","8","20,465167","20.4651669s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_60s\results.csv"
"b/clip_60s_60s","1","10","20,883353","20.8833526s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_60s\results.csv"
"b/clip_60s_60s","1","12","21,021368","21.0213683s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_60s\results.csv"
"b/clip_60s_60s","1","16","21,761631","21.7616308s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_60s\results.csv"
"b/clip_60s_60s","1","32","21,150282","21.1502816s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_60s\results.csv"
"b/clip_60s_60s","1","64","21,219439","21.2194388s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_60s\results.csv"
"b/clip_60s_60s","1","128","20,856637","20.8566367s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_60s\results.csv"
"b/clip_60s_60s","6","1","29,469415","29.4694148s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_60s\results.csv"
"b/clip_60s_60s","6","2","27,087838","27.0878376s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_60s\results.csv"
"b/clip_60s_60s","6","4","25,840139","25.8401391s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_60s\results.csv"
"b/clip_60s_60s","6","6","24,780678","24.7806779s","D:\Repository\go\unik\MP\bench_runs\clips_full\b\clip_60s_60s\results.csv"
