n,workers,seconds,duration
1,1,21.420211,21.4202106s
1,2,22.550360,22.5503599s
1,4,21.402857,21.4028575s
1,6,20.447087,20.4470869s
1,8,21.254334,21.254334s
1,10,20.224998,20.2249975s
1,12,20.577296,20.5772965s
1,16,20.183426,20.1834263s
1,32,20.261083,20.261083s
1,64,20.389528,20.3895283s
1,128,19.713726,19.7137263s
6,1,24.110849,24.1108491s
6,2,22.393019,22.3930191s
6,4,20.655681,20.6556807s
6,6,20.356692,20.3566921s
6,8,19.483168,19.4831678s
6,10,20.520512,20.5205122s
6,12,20.193924,20.1939237s
6,16,20.101111,20.1011115s
6,32,20.042807,20.0428075s
6,64,20.252284,20.2522838s
6,128,19.884193,19.884193s
