n,workers,seconds,duration
1,1,2.086847,2.086847s
1,2,1.803498,1.8034984s
1,4,1.572204,1.5722042s
1,6,1.603508,1.6035084s
1,8,1.594851,1.5948509s
1,10,1.691267,1.6912671s
1,12,1.692064,1.6920643s
1,16,1.745515,1.7455145s
1,32,1.814893,1.8148934s
1,64,1.843443,1.8434432s
1,128,1.974348,1.9743484s
6,1,2.690354,2.6903545s
6,2,2.300006,2.3000056s
6,4,2.353102,2.3531023s
6,6,2.315587,2.315587s
6,8,2.411276,2.411276s
6,10,2.666775,2.6667753s
6,12,2.306199,2.3061989s
6,16,2.417789,2.417789s
6,32,2.293971,2.2939712s
6,64,2.401484,2.4014844s
6,128,2.405608,2.4056077s
