n,workers,seconds,duration
1,1,24.523910,24.5239098s
1,2,22.043764,22.0437641s
1,4,21.578371,21.5783713s
1,6,20.610304,20.6103038s
1,8,20.465167,20.4651669s
1,10,20.883353,20.8833526s
1,12,21.021368,21.0213683s
1,16,21.761631,21.7616308s
1,32,21.150282,21.1502816s
1,64,21.219439,21.2194388s
1,128,20.856637,20.8566367s
6,1,29.469415,29.4694148s
6,2,27.087838,27.0878376s
6,4,25.840139,25.8401391s
6,6,24.780678,24.7806779s
6,8,24.152426,24.152426s
6,10,24.826358,24.8263583s
6,12,24.524847,24.5248471s
6,16,24.155084,24.1550839s
6,32,23.705797,23.7057966s
6,64,23.497152,23.4971523s
6,128,23.640565,23.6405651s
